100028,00:28:05,2018-10-16
100363,22:42:00,2018-10-29
100399,16:20:12,2018-10-3
100537,00:52:01,2018-10-31
100843,21:37:58,2018-10-23
100856,12:51:29,2018-10-2
100860,20:44:45,2018-10-20
101076,12:01:32,2018-10-30
101224,00:17:35,2018-10-1
101453,23:38:20,2018-10-1
102010,23:36:00,2018-10-1
102077,11:33:39,2018-10-2
102142,00:12:00,2018-10-29
102236,17:13:30,2018-10-13
102318,16:50:29,2018-10-30
102389,21:47:22,2018-10-29
102401,01:10:44,2018-10-24
102670,21:26:18,2018-10-16
103018,03:00:00,2018-10-26
103194,16:11:44,2018-10-31
103948,11:22:40,2018-10-4
104020,23:27:25,2018-10-6
104074,00:42:00,2018-10-12
104103,17:52:50,2018-10-10
104354,17:43:27,2018-10-5
104588,20:19:19,2018-10-1
104755,16:53:41,2018-10-3
104788,17:29:34,2018-10-24
104932,01:06:00,2018-10-29
105033,17:30:17,2018-10-2
105162,11:14:22,2018-10-10
105301,00:28:17,2018-10-27
105512,00:05:08,2018-10-30
105779,02:45:18,2018-10-6
106021,21:56:39,2018-10-23
106037,18:11:36,2018-10-15
106152,20:39:05,2018-10-20
106319,20:39:29,2018-10-17
106362,18:40:00,2018-10-20
106437,18:35:47,2018-10-16
106586,14:21:18,2018-10-11
106680,18:26:57,2018-10-24
106869,23:07:59,2018-10-6
107033,18:58:23,2018-10-12
108006,21:43:47,2018-10-27
108035,22:38:43,2018-10-5
108318,03:00:00,2018-10-16
108407,11:17:40,2018-10-22
108440,22:25:40,2018-10-3
108858,18:52:06,2018-10-16
108954,22:54:36,2018-10-26
109256,21:35:49,2018-10-25
109456,23:17:47,2018-10-1
109467,15:33:42,2018-10-13
109745,15:23:04,2018-10-17
110140,20:57:16,2018-10-9
110172,22:11:40,2018-10-6
110291,21:04:05,2018-10-17
110730,18:25:45,2018-10-27
110808,21:52:17,2018-10-23
110889,21:49:46,2018-10-24
111040,04:13:07,2018-10-13
111176,17:43:45,2018-10-31
111287,17:59:17,2018-10-26
111295,16:45:33,2018-10-4
111299,13:40:46,2018-10-1
111403,14:58:58,2018-10-27
111411,16:18:03,2018-10-2
111912,22:47:03,2018-10-12
111948,22:42:43,2018-10-2
112737,18:28:22,2018-10-11
113345,13:25:55,2018-10-15
113535,14:55:08,2018-10-8
113624,22:22:30,2018-10-8
113925,01:06:00,2018-10-9
114242,22:08:22,2018-10-24
114652,23:58:31,2018-10-20
114669,19:42:51,2018-10-25
114696,21:56:18,2018-10-20
114904,22:03:39,2018-10-23
115168,17:48:56,2018-10-15
115773,16:11:36,2018-10-31
116113,18:42:47,2018-10-24
116125,22:59:24,2018-10-8
116241,21:59:59,2018-10-5
116305,12:10:21,2018-10-30
116370,23:48:14,2018-10-8
116419,11:44:17,2018-10-5
116577,00:55:52,2018-10-3
116624,20:45:35,2018-10-17
117652,01:06:00,2018-10-30
117795,20:05:22,2018-10-30
117819,23:15:59,2018-10-4
117905,21:44:35,2018-10-9
118103,03:00:00,2018-10-2
118536,14:03:48,2018-10-24
119117,16:32:40,2018-10-10
119193,19:21:07,2018-10-26
119244,21:13:17,2018-10-20
119527,20:20:16,2018-10-6
120085,23:15:48,2018-10-9
120188,11:10:12,2018-10-3
120231,23:52:52,2018-10-1
120387,20:27:03,2018-10-17
120610,01:46:18,2018-10-10
120976,00:46:12,2018-10-1
120985,17:36:50,2018-10-1
121023,11:15:52,2018-10-30
121163,11:50:38,2018-10-17
121165,18:43:41,2018-10-2
121307,07:48:32,2018-10-2
121342,23:36:00,2018-10-17
121401,00:02:34,2018-10-17
121744,18:56:06,2018-10-6
121840,22:07:52,2018-10-9
122101,00:06:19,2018-10-26
122323,21:25:21,2018-10-5
122370,21:29:35,2018-10-26
122441,02:12:37,2018-10-31
122482,16:18:39,2018-10-26
122790,17:27:43,2018-10-2
122882,01:00:00,2018-10-15
122908,13:05:02,2018-10-1
122992,23:17:59,2018-10-11
123222,13:27:50,2018-10-17
123299,00:17:32,2018-10-12
123301,19:06:33,2018-10-27
123525,21:08:46,2018-10-26
123879,18:10:05,2018-10-16
124044,00:06:00,2018-10-26
124081,17:27:50,2018-10-3
124321,18:23:27,2018-10-13
124772,23:33:46,2018-10-18
124791,18:41:31,2018-10-16
124824,11:59:30,2018-10-17
124944,11:14:58,2018-10-30
125059,22:24:56,2018-10-15
125172,16:39:23,2018-10-9
125572,23:43:02,2018-10-17
125699,14:18:28,2018-10-10
126125,11:44:49,2018-10-17
